milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
two sticks are rubbing against each other  & (S (NP (CD two) (NNS sticks)) (VP (VBP are) (VP (VBG rubbing) (PP (IN against) (NP (DT each) (JJ other)))))) 
as a source of light becomes closer the light will appear brighter  & (SBAR (IN as) (S (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN light)))) (VP (VP (VBZ becomes) (ADJP (JJR closer))) (NP (DT the) (NN light)) (VP (MD will) (VP (VB appear) (ADJP (JJR brighter))))))) 
a convex lens will cause the light to bend when the light passes through the lens  & (S (NP (DT a) (NNP convex) (NN lens)) (VP (MD will) (VP (VB cause) (S (NP (DT the) (NN light)) (VP (TO to) (VB bend)) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NN light)) (VP (VBZ passes) (PP (IN through) (NP (DT the) (NN lens)))))))))) 
phytoplanktons and algae are plants that can be found in the ocean  & (S (NP (NNS phytoplanktons) (CC and) (NN algae)) (VP (VBP are) (NP (NP (NNS plants)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB be) (VP (VBN found) (PP (IN in) (NP (DT the) (NN ocean))))))))))) 
a storm is a source of heavy rain  & (S (NP (DT a) (NN storm)) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (JJ heavy) (NN rain)))))) 
a student observes the formation of zygotes by one of the protists  & (S (NP (DT a) (NN student)) (VP (VBZ observes) (NP (DT the) (NN formation)) (PP (IN of) (NP (NNS zygotes))) (PP (IN by) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS protists))))))) 
predators threaten the existance of other animals  & (S (NP (NNS predators)) (VP (VBP threaten) (NP (NP (DT the) (NN existance)) (PP (IN of) (NP (JJ other) (NNS animals)))))) 
the Sun is the star that is closest to Earth  & (S (NP (DT the) (NNP Sun)) (VP (VBZ is) (NP (NP (DT the) (NN star)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (ADJP (JJS closest) (PP (IN to) (NP (NNP Earth)))))))))) 
solar energy is a kind of heat energy  & (S (NP (JJ solar) (NN energy)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN heat) (NN energy)))))) 
plants are a source of food for animals  & (S (NP (NNS plants)) (VP (VBP are) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NP (NN food)) (PP (IN for) (NP (NNS animals)))))))) 
a measuring cup is used for measuring the volume of substances  & (S (NP (DT a) (VBG measuring) (NN cup)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG measuring) (NP (NP (DT the) (NN volume)) (PP (IN of) (NP (NNS substances)))))))))) 
genetic engineering is when scientists transfer a section of DNA from one organism into the DNA of another organism  & (S (NP (JJ genetic) (NN engineering)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (NNS scientists)) (VP (VBP transfer) (NP (NP (DT a) (NN section)) (PP (IN of) (NP (NN DNA)))) (PP (IN from) (NP (CD one) (NN organism))) (PP (IN into) (NP (NP (DT the) (NN DNA)) (PP (IN of) (NP (DT another) (NN organism)))))))))) 
rust is made of iron and oxygen  & (S (NP (NN rust)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NN iron) (CC and) (NN oxygen)))))) 
iron in contact with water and oxygen is an example of chemical reactions  & (S (NP (NP (NN iron)) (PP (IN in) (NP (NP (NN contact)) (PP (IN with) (NP (NN water) (CC and) (NN oxygen)))))) (VP (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (JJ chemical) (NNS reactions)))))) 
a nucleus can not be found in prokaryotic cells  & (S (NP (DT a) (NN nucleus)) (VP (MD can) (RB not) (VP (VB be) (VP (VBN found) (PP (IN in) (NP (JJ prokaryotic) (NNS cells))))))) 
tree roots help fungus survive by supplying a protected environment to grow  & (S (NP (NN tree) (NNS roots)) (VP (VBP help) (NP (NN fungus)) (VB survive) (PP (IN by) (S (VP (VBG supplying) (NP (DT a) (VBN protected) (NN environment)) (SBAR (S (VP (TO to) (VP (VB grow)))))))))) 
objects generally are made of ice in the Kuiper Belt  & (S (NP (NNS objects)) (ADVP (RB generally)) (VBP are) (VP (VBN made) (PP (IN of) (NP (NN ice))) (PP (IN in) (NP (DT the) (NNP Kuiper) (NNP Belt))))) 
